strategy_name,start_date,end_date,initial_capital,final_equity,total_return,annual_return,max_drawdown,profit_factor,win_rate,trade_count,average_R,median_R,largest_win_R,largest_loss_R,average_holding_days,max_consecutive_losses,sharpe,sortino,calmar,schedule_name,loss_throttle_rule_name,cost_scenario_name,description,fee_rate,slippage_rate,score
v8_d_strong_1_5_weak_0_5__v11_c_after_4_losses_half,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104193.94032830694,0.04193940328306933,0.006378670052743507,-0.012867428909474454,1.7928937890848105,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.15263667316196475,0.05005524375908019,0.49572219109342114,v8_d_strong_1_5_weak_0_5,v11_c_after_4_losses_half,stress_cost_2_0x,"1.5x strong risk, half weak risk + After 4 consecutive losses, cut risk in half until the next winning trade.",0.0008,0.0004,4.904939226799466
v8_d_strong_1_5_weak_0_5__v11_a_no_throttle,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,104647.8608641719,0.046478608641719044,0.007055966543602965,-0.011734587903507565,1.7798601671196779,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.1623382595729111,0.05448362428417038,0.6012964921839206,v8_d_strong_1_5_weak_0_5,v11_a_no_throttle,stress_cost_2_0x,"1.5x strong risk, half weak risk + No sequence guardrail. Keep normal risk sizing.",0.0008,0.0004,4.884570589849311
v8_c_strong_1_25_weak_0_5__v11_a_no_throttle,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103848.65721175147,0.03848657211751472,0.005861799767399978,-0.009942005167919765,1.7424318534653294,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.16012120127921683,0.05458974159069558,0.5895993482596914,v8_c_strong_1_25_weak_0_5,v11_a_no_throttle,stress_cost_2_0x,"1.25x strong risk, half weak risk + No sequence guardrail. Keep normal risk sizing.",0.0008,0.0004,4.792201967917343
v8_c_strong_1_25_weak_0_5__v11_c_after_4_losses_half,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,103409.1950694133,0.034091950694133066,0.005201843516476901,-0.010936018065342279,1.7405884326625394,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.14843407836060346,0.04887441882366679,0.47566156944841254,v8_c_strong_1_25_weak_0_5,v11_c_after_4_losses_half,stress_cost_2_0x,"1.25x strong risk, half weak risk + After 4 consecutive losses, cut risk in half until the next winning trade.",0.0008,0.0004,4.776349688518448
v8_d_strong_1_5_weak_0_5__v11_b_after_3_losses_half,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,102606.1824503479,0.026061824503478936,0.003989782566238498,-0.011661116597983967,1.5296121792639226,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.12984146761829876,0.033458411480327285,0.34214412768398794,v8_d_strong_1_5_weak_0_5,v11_b_after_3_losses_half,stress_cost_2_0x,"1.5x strong risk, half weak risk + After 3 consecutive losses, cut risk in half until the next winning trade.",0.0008,0.0004,4.234861976224149
v8_a_flat_1_0__v11_a_no_throttle,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,102898.97570323721,0.028989757032372054,0.004432648127201899,-0.013383188893543396,1.496798882490958,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.13460827327384087,0.03906618766300187,0.3312101594366939,v8_a_flat_1_0,v11_a_no_throttle,stress_cost_2_0x,Flat baseline risk on every trade + No sequence guardrail. Keep normal risk sizing.,0.0008,0.0004,4.1460392250060885
v8_c_strong_1_25_weak_0_5__v11_b_after_3_losses_half,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,102093.29625726245,0.020932962572624447,0.003211433710179179,-0.009929201048997749,1.4873616781778656,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.12431212458320806,0.032088627387702066,0.3234332444606246,v8_c_strong_1_25_weak_0_5,v11_b_after_3_losses_half,stress_cost_2_0x,"1.25x strong risk, half weak risk + After 3 consecutive losses, cut risk in half until the next winning trade.",0.0008,0.0004,4.133400425954449
v8_a_flat_1_0__v11_c_after_4_losses_half,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,102104.4850618566,0.02104485061856587,0.003228448909625259,-0.010906884684517726,1.4059979010121222,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.108999712222821,0.028268608729947464,0.2960010124804957,v8_a_flat_1_0,v11_c_after_4_losses_half,stress_cost_2_0x,"Flat baseline risk on every trade + After 4 consecutive losses, cut risk in half until the next winning trade.",0.0008,0.0004,3.9242610028225395
v8_d_strong_1_5_weak_0_5__v11_d_after_3_losses_quarter,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,101587.33350026137,0.015873335002613675,0.0024403465913678257,-0.011717393603747683,1.3599517730306463,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.09225708809221073,0.019933551326760345,0.20826701516515644,v8_d_strong_1_5_weak_0_5,v11_d_after_3_losses_quarter,stress_cost_2_0x,"1.5x strong risk, half weak risk + After 3 consecutive losses, cut risk to 25% until the next winning trade.",0.0008,0.0004,3.797977810807411
v8_c_strong_1_25_weak_0_5__v11_d_after_3_losses_quarter,2019-12-16T04:00:00+00:00,2026-06-02T12:00:00+00:00,100000.0,101217.56255491661,0.01217562554916607,0.0018747600853448176,-0.010155847635427095,1.3156777791330014,0.25,52,0.11221999178058456,-0.19232899782681634,4.549998670047146,-0.8659018176685399,2.314102564102564,9,0.084398161372899,0.018112770355604893,0.1845990755911903,v8_c_strong_1_25_weak_0_5,v11_d_after_3_losses_quarter,stress_cost_2_0x,"1.25x strong risk, half weak risk + After 3 consecutive losses, cut risk to 25% until the next winning trade.",0.0008,0.0004,3.692137409825038
