ts_ms,datetime_utc,datetime_shanghai,open,high,low,close,volume,confirmed
1576468800000,2019-12-16T04:00:00.000Z,2019-12-16T12:00:00,7080,7099.8,7052.7,7052.7,246552,1
1576483200000,2019-12-16T08:00:00.000Z,2019-12-16T16:00:00,7100,7129.1,7055.8,7088,1058252,1
1576497600000,2019-12-16T12:00:00.000Z,2019-12-16T20:00:00,7088.4,7137,7073.7,7081.3,1006196,1
1576512000000,2019-12-16T16:00:00.000Z,2019-12-17T00:00:00,7084.8,7110.8,6825.7,6907.9,3612612,1
1576526400000,2019-12-16T20:00:00.000Z,2019-12-17T04:00:00,6903.6,6916.8,6843,6889.1,1345480,1
1576540800000,2019-12-17T00:00:00.000Z,2019-12-17T08:00:00,6892.9,6904.2,6862.2,6880.3,1125792,1
1576555200000,2019-12-17T04:00:00.000Z,2019-12-17T12:00:00,6879.1,6892.4,6863.3,6869.5,1077660,1
1576569600000,2019-12-17T08:00:00.000Z,2019-12-17T16:00:00,6870,6953.7,6851.1,6924.8,3000398,1
1576584000000,2019-12-17T12:00:00.000Z,2019-12-17T20:00:00,6926,6926.2,6661.7,6696.5,6806996,1
1576598400000,2019-12-17T16:00:00.000Z,2019-12-18T00:00:00,6697.9,6732.8,6565.5,6617.4,4038740,1
1576612800000,2019-12-17T20:00:00.000Z,2019-12-18T04:00:00,6614.2,6686.5,6541.2,6624,4377344,1
1576627200000,2019-12-18T00:00:00.000Z,2019-12-18T08:00:00,6623.8,6720.1,6595,6687.4,4014096,1
1576641600000,2019-12-18T04:00:00.000Z,2019-12-18T12:00:00,6683.8,6707.6,6571.1,6624.5,5490590,1
1576656000000,2019-12-18T08:00:00.000Z,2019-12-18T16:00:00,6622.3,6660,6577.5,6613.2,4394492,1
1576670400000,2019-12-18T12:00:00.000Z,2019-12-18T20:00:00,6614.2,6864.4,6415.7,6823.7,24602972,1
1576684800000,2019-12-18T16:00:00.000Z,2019-12-19T00:00:00,6827.5,6988.5,6775.5,6949.6,10512546,1
1576699200000,2019-12-18T20:00:00.000Z,2019-12-19T04:00:00,6961.7,7498.2,6943.8,7285,20153184,1
1576713600000,2019-12-19T00:00:00.000Z,2019-12-19T08:00:00,7286.8,7390.8,7125.7,7157.2,10678296,1
1576728000000,2019-12-19T04:00:00.000Z,2019-12-19T12:00:00,7153.6,7166.1,7055.9,7094,6754340,1
1576742400000,2019-12-19T08:00:00.000Z,2019-12-19T16:00:00,7094,7208.9,7040,7142.1,12430416,1
1576756800000,2019-12-19T12:00:00.000Z,2019-12-19T20:00:00,7142.1,7246.7,7046.7,7136.7,24956866,1
1576771200000,2019-12-19T16:00:00.000Z,2019-12-20T00:00:00,7141.4,7175.8,7112.5,7169.6,6775820,1
1576785600000,2019-12-19T20:00:00.000Z,2019-12-20T04:00:00,7170.8,7170.8,7127.4,7142.9,4330836,1
1576800000000,2019-12-20T00:00:00.000Z,2019-12-20T08:00:00,7148.2,7148.3,7011.6,7131,13465770,1
1576814400000,2019-12-20T04:00:00.000Z,2019-12-20T12:00:00,7132.4,7150,7092.4,7137.7,10820504,1
1576828800000,2019-12-20T08:00:00.000Z,2019-12-20T16:00:00,7136.5,7199.1,7077.3,7147,10570302,1
1576843200000,2019-12-20T12:00:00.000Z,2019-12-20T20:00:00,7147.7,7238.1,7138.9,7155.9,13784826,1
1576857600000,2019-12-20T16:00:00.000Z,2019-12-21T00:00:00,7155.8,7197,7125.2,7182.2,8031152,1
1576872000000,2019-12-20T20:00:00.000Z,2019-12-21T04:00:00,7182.2,7206.1,7173,7180.2,4436120,1
1576886400000,2019-12-21T00:00:00.000Z,2019-12-21T08:00:00,7180.2,7180.2,7140,7152.5,10715624,1
1576900800000,2019-12-21T04:00:00.000Z,2019-12-21T12:00:00,7153.1,7165,7130,7136.5,7594560,1
1576915200000,2019-12-21T08:00:00.000Z,2019-12-21T16:00:00,7136.5,7150,7086.3,7146.2,7602672,1
1576929600000,2019-12-21T12:00:00.000Z,2019-12-21T20:00:00,7145.4,7147.6,7119.1,7133.3,5934816,1
1576944000000,2019-12-21T16:00:00.000Z,2019-12-22T00:00:00,7133.7,7150,7127.7,7146.2,6852292,1
1576958400000,2019-12-21T20:00:00.000Z,2019-12-22T04:00:00,7146.7,7204.4,7123.2,7134.9,4822456,1
1576972800000,2019-12-22T00:00:00.000Z,2019-12-22T08:00:00,7132.3,7141.6,7127.5,7135,3956500,1
1576987200000,2019-12-22T04:00:00.000Z,2019-12-22T12:00:00,7135,7210.5,7131.2,7177.9,7819554,1
1577001600000,2019-12-22T08:00:00.000Z,2019-12-22T16:00:00,7187.1,7229,7146.6,7158.8,8036846,1
1577016000000,2019-12-22T12:00:00.000Z,2019-12-22T20:00:00,7160,7187.9,7154.5,7175.2,6080248,1
1577030400000,2019-12-22T16:00:00.000Z,2019-12-23T00:00:00,7178,7481.3,7159,7399.4,27964878,1
1577044800000,2019-12-22T20:00:00.000Z,2019-12-23T04:00:00,7397.5,7536.8,7383.2,7495.7,11091756,1
1577059200000,2019-12-23T00:00:00.000Z,2019-12-23T08:00:00,7495.7,7663.7,7495.7,7585.1,25211730,1
1577073600000,2019-12-23T04:00:00.000Z,2019-12-23T12:00:00,7586,7586.4,7426.5,7498,23569014,1
1577088000000,2019-12-23T08:00:00.000Z,2019-12-23T16:00:00,7497,7583.5,7492.1,7550,14519306,1
1577102400000,2019-12-23T12:00:00.000Z,2019-12-23T20:00:00,7550,7628.6,7426.1,7583.7,18114522,1
1577116800000,2019-12-23T16:00:00.000Z,2019-12-24T00:00:00,7576,7716.9,7309.2,7432.5,31772908,1
1577131200000,2019-12-23T20:00:00.000Z,2019-12-24T04:00:00,7431.8,7431.8,7202.9,7320.1,24603566,1
1577145600000,2019-12-24T00:00:00.000Z,2019-12-24T08:00:00,7318.8,7329.3,7290,7313.1,14983808,1
1577160000000,2019-12-24T04:00:00.000Z,2019-12-24T12:00:00,7315,7338,7209.2,7266,16252502,1
1577174400000,2019-12-24T08:00:00.000Z,2019-12-24T16:00:00,7266.1,7429,7234,7372.2,32389488,1
1577188800000,2019-12-24T12:00:00.000Z,2019-12-24T20:00:00,7373.5,7458,7191.1,7278.1,28334264,1
1577203200000,2019-12-24T16:00:00.000Z,2019-12-25T00:00:00,7276,7340.6,7131.6,7248,24945362,1
1577217600000,2019-12-24T20:00:00.000Z,2019-12-25T04:00:00,7248,7310.2,7205.3,7255.2,12509782,1
1577232000000,2019-12-25T00:00:00.000Z,2019-12-25T08:00:00,7254.1,7258.6,7217.2,7229.5,3641395,1
1577246400000,2019-12-25T04:00:00.000Z,2019-12-25T12:00:00,7227.9,7262.1,7202.8,7255,5367494,1
1577260800000,2019-12-25T08:00:00.000Z,2019-12-25T16:00:00,7253,7261.5,7212.8,7219.2,5295461,1
1577275200000,2019-12-25T12:00:00.000Z,2019-12-25T20:00:00,7219.1,7252,7170.3,7191.1,6650513,1
1577289600000,2019-12-25T16:00:00.000Z,2019-12-26T00:00:00,7191.1,7240.1,7121.7,7232.9,6403636,1
1577304000000,2019-12-25T20:00:00.000Z,2019-12-26T04:00:00,7234.5,7262.3,7169.8,7199.9,4989676,1
1577318400000,2019-12-26T00:00:00.000Z,2019-12-26T08:00:00,7199.9,7216.5,7183.1,7185.1,5414585,1
1577332800000,2019-12-26T04:00:00.000Z,2019-12-26T12:00:00,7185.1,7219,7179.6,7211,7621923,1
1577347200000,2019-12-26T08:00:00.000Z,2019-12-26T16:00:00,7210.1,7236,7189,7190.1,8341521,1
1577361600000,2019-12-26T12:00:00.000Z,2019-12-26T20:00:00,7190.4,7239.2,7185.7,7230.1,8931648,1
1577376000000,2019-12-26T16:00:00.000Z,2019-12-27T00:00:00,7230.1,7433.7,7201.1,7304.2,15420617,1
1577390400000,2019-12-26T20:00:00.000Z,2019-12-27T04:00:00,7300,7329,7157.6,7207,11438228,1
1577404800000,2019-12-27T00:00:00.000Z,2019-12-27T08:00:00,7203.2,7242.7,7194,7233.9,11170619,1
1577419200000,2019-12-27T04:00:00.000Z,2019-12-27T12:00:00,7233.3,7240.6,7181,7186.1,13964538,1
1577433600000,2019-12-27T08:00:00.000Z,2019-12-27T16:00:00,7186.6,7208.8,7087,7133.9,14954339,1
1577448000000,2019-12-27T12:00:00.000Z,2019-12-27T20:00:00,7133.9,7258,7098.1,7241.4,21944783,1
1577462400000,2019-12-27T16:00:00.000Z,2019-12-28T00:00:00,7240,7266,7179.9,7215.2,16219707,1
1577476800000,2019-12-27T20:00:00.000Z,2019-12-28T04:00:00,7217.9,7258,7214.4,7248.8,11747665,1
1577491200000,2019-12-28T00:00:00.000Z,2019-12-28T08:00:00,7248.9,7326,7237.6,7286.7,18264801,1
1577505600000,2019-12-28T04:00:00.000Z,2019-12-28T12:00:00,7285.9,7349,7283.2,7300,17051426,1
1577520000000,2019-12-28T08:00:00.000Z,2019-12-28T16:00:00,7300.5,7326,7266.7,7311.1,19287083,1
1577534400000,2019-12-28T12:00:00.000Z,2019-12-28T20:00:00,7310.6,7359,7287.8,7307.1,16103829,1
1577548800000,2019-12-28T16:00:00.000Z,2019-12-29T00:00:00,7305.6,7357.8,7280.5,7341.9,17700840,1
1577563200000,2019-12-28T20:00:00.000Z,2019-12-29T04:00:00,7343.7,7349,7306.8,7313,14668494,1
1577577600000,2019-12-29T00:00:00.000Z,2019-12-29T08:00:00,7312.3,7313.4,7289.1,7305,15841131,1
1577592000000,2019-12-29T04:00:00.000Z,2019-12-29T12:00:00,7305,7320.5,7291.1,7312.8,14160618,1
1577606400000,2019-12-29T08:00:00.000Z,2019-12-29T16:00:00,7312.8,7355,7308.5,7343.2,11711006,1
1577620800000,2019-12-29T12:00:00.000Z,2019-12-29T20:00:00,7343.1,7417.5,7326.7,7389,17633909,1
1577635200000,2019-12-29T16:00:00.000Z,2019-12-30T00:00:00,7392.4,7478.1,7382.4,7472,14046365,1
1577649600000,2019-12-29T20:00:00.000Z,2019-12-30T04:00:00,7471.8,7549.6,7356.1,7391.3,18038884,1
1577664000000,2019-12-30T00:00:00.000Z,2019-12-30T08:00:00,7389.9,7389.9,7314.8,7349.4,13116779,1
1577678400000,2019-12-30T04:00:00.000Z,2019-12-30T12:00:00,7349.4,7404.2,7346.2,7380.1,9294099,1
1577692800000,2019-12-30T08:00:00.000Z,2019-12-30T16:00:00,7380.1,7380.2,7297.9,7318.1,6312027,1
1577707200000,2019-12-30T12:00:00.000Z,2019-12-30T20:00:00,7315.5,7340.1,7260.9,7265,8720341,1
1577721600000,2019-12-30T16:00:00.000Z,2019-12-31T00:00:00,7265,7270.9,7220,7239.7,3207285,1
1577736000000,2019-12-30T20:00:00.000Z,2019-12-31T04:00:00,7241.1,7283,7238.3,7243.9,1600084,1
1577750400000,2019-12-31T00:00:00.000Z,2019-12-31T08:00:00,7243.9,7267.2,7200,7239.4,3346638,1
1577764800000,2019-12-31T04:00:00.000Z,2019-12-31T12:00:00,7239.4,7264.4,7233.1,7249.1,1506061,1
1577779200000,2019-12-31T08:00:00.000Z,2019-12-31T16:00:00,7247.8,7252.5,7218.1,7241.6,2668802,1
1577793600000,2019-12-31T12:00:00.000Z,2019-12-31T20:00:00,7241.8,7317.9,7178,7199.9,8467996,1
1577808000000,2019-12-31T16:00:00.000Z,2020-01-01T00:00:00,7199.9,7225.5,7140,7174.6,3511990,1
1577822400000,2019-12-31T20:00:00.000Z,2020-01-01T04:00:00,7174.6,7206.2,7167.4,7194.7,705531,1
1577836800000,2020-01-01T00:00:00.000Z,2020-01-01T08:00:00,7192.9,7243,7176.7,7224.9,3372758,1
1577851200000,2020-01-01T04:00:00.000Z,2020-01-01T12:00:00,7224.8,7233.4,7201.5,7210,2020063,1
1577865600000,2020-01-01T08:00:00.000Z,2020-01-01T16:00:00,7209.9,7234.1,7180.8,7196.9,3548697,1
1577880000000,2020-01-01T12:00:00.000Z,2020-01-01T20:00:00,7198.9,7255,7198.9,7232.9,2620821,1
